geo,time,sh_xpd_ghed_ch_zs
dma,2015,63.04369
dma,2016,65.01005
dma,2017,69.00895
dma,2018,66.39792
dma,2019,64.46092
dnk,2000,83.10736
dnk,2001,83.40569
dnk,2002,83.80578
dnk,2003,83.90985
dnk,2004,83.54908
dnk,2005,83.74406
dnk,2006,83.87025
dnk,2007,83.70829
dnk,2008,84.01987
dnk,2009,84.45876
dnk,2010,83.87973
dnk,2011,83.61362
dnk,2012,83.97979
dnk,2013,84.26118
dnk,2014,84.18953
dnk,2015,84.1832
dnk,2016,84.12241
dnk,2017,84.02402
dnk,2018,83.88056
dnk,2019,83.28965
dom,2000,35.02082
dom,2001,34.89286
dom,2002,33.68211
dom,2003,26.42829
dom,2004,26.76638
dom,2005,31.99627
dom,2006,35.09866
dom,2007,40.04421
dom,2008,44.8847
dom,2009,45.80553
dom,2010,45.1014
dom,2011,48.10536
dom,2012,46.96027
dom,2013,48.198
dom,2014,42.79042
dom,2015,40.93559
dom,2016,45.72494
dom,2017,46.00228
dom,2018,44.3062
dom,2019,44.89686
dza,2000,71.96343
dza,2001,76.22702
dza,2002,75.27867
dza,2003,76.6942
dza,2004,71.3535
dza,2005,69.29087
dza,2006,68.46268
dza,2007,69.78764
dza,2008,71.99542
dza,2009,70.88406
dza,2010,69.48219
dza,2011,70.61742
dza,2012,72.92947
dza,2013,71.04825
dza,2014,72.00838
dza,2015,70.45938
dza,2016,67.68751
dza,2017,65.95245
dza,2018,65.84744
dza,2019,64.99979
ecu,2000,28.85008
ecu,2001,33.43956
ecu,2002,31.58303
ecu,2003,30.659
ecu,2004,31.12532
ecu,2005,30.08036
ecu,2006,31.8702
ecu,2007,38.30803
ecu,2008,39.03658
ecu,2009,41.78041
ecu,2010,46.34576
ecu,2011,47.32579
ecu,2012,50.83788
ecu,2013,56.244
ecu,2014,61.19425
ecu,2015,57.56557
ecu,2016,60.66104
ecu,2017,61.1794
ecu,2018,62.68224
ecu,2019,61.77099
egy,2000,35.18718
egy,2001,34.22035
egy,2002,34.4614
egy,2003,31.92204
egy,2004,32.51029
egy,2005,32.28804
egy,2006,36.02455
egy,2007,35.28871
egy,2008,34.39306
egy,2009,35.0471
egy,2010,32.93099
egy,2011,33.84383
egy,2012,28.70971
egy,2013,29.26489
egy,2014,29.54225
egy,2015,31.24346
egy,2016,30.8666
egy,2017,30.97197
egy,2018,28.73188
egy,2019,27.78466
eri,2000,35.59143
eri,2001,30.27295
eri,2002,31.68949
eri,2003,22.7474
eri,2004,22.24495
eri,2005,12.42664
eri,2006,11.93084
eri,2007,23.01511
eri,2008,23.1282
eri,2009,19.14519
eri,2010,20.8325
eri,2011,14.76928
eri,2012,20.97948
eri,2013,15.5747
eri,2014,12.67297
eri,2015,16.62711
eri,2016,20.84409
eri,2017,27.02369
eri,2018,15.60711
eri,2019,17.60498
esp,2000,71.63856
esp,2001,71.31189
esp,2002,71.32294
esp,2003,71.10637
esp,2004,71.35221
esp,2005,71.55554
esp,2006,72.09996
esp,2007,72.30199
esp,2008,73.28283
esp,2009,75.07069
esp,2010,74.44393
esp,2011,73.48575
esp,2012,72.11063
esp,2013,71.00799
esp,2014,70.2635
esp,2015,71.31516
esp,2016,71.55434
esp,2017,70.5319
esp,2018,70.27409
esp,2019,70.61953
est,2000,76.06137
est,2001,78.25784
est,2002,76.21243
est,2003,76.02257
est,2004,73.93649
est,2005,74.01465
est,2006,74.75247
est,2007,75.04587
est,2008,76.23106
est,2009,77.1799
est,2010,74.20081
est,2011,74.99227
est,2012,76.13853
est,2013,75.46358
est,2014,75.37685
est,2015,75.34112
est,2016,75.41832
est,2017,73.50711
est,2018,73.61356
est,2019,74.41665
eth,2000,41.22625
eth,2001,42.67099
eth,2002,44.16249
eth,2003,46.45885
eth,2004,30.72783
eth,2005,42.14151
eth,2006,25.12863
eth,2007,26.65452
eth,2008,12.0134
eth,2009,19.50625
eth,2010,17.26856
eth,2011,8.52939
eth,2012,23.49619
eth,2013,26.98539
eth,2014,17.72079
eth,2015,25.25154
eth,2016,24.99848
eth,2017,24.93996
eth,2018,23.30264
eth,2019,22.70312
fin,2000,75.72887
fin,2001,76.21709
fin,2002,76.82077
fin,2003,77.31451
fin,2004,77.83823
fin,2005,77.80793
fin,2006,78.744
fin,2007,78.62154
fin,2008,78.82755
fin,2009,79.02602
fin,2010,78.54333
fin,2011,79.16613
fin,2012,79.80427
fin,2013,79.4615
fin,2014,79.55602
fin,2015,78.56343
fin,2016,77.83335
fin,2017,78.01247
fin,2018,78.55684
fin,2019,80.16697
fji,2000,76.84042
fji,2001,71.81422
fji,2002,73.79864
fji,2003,74.78234
fji,2004,68.07651
fji,2005,74.21462
fji,2006,73.94041
fji,2007,72.27155
fji,2008,69.44023
fji,2009,62.0036
fji,2010,63.89649
fji,2011,60.13279
fji,2012,58.61301
fji,2013,58.48069
fji,2014,61.3342
fji,2015,63.11803
fji,2016,63.90228
fji,2017,66.2309
fji,2018,67.8305
fji,2019,65.38835
fra,2000,72.72908
fra,2001,72.75837
fra,2002,73.002
fra,2003,72.63542
fra,2004,72.64558
fra,2005,72.54794
fra,2006,71.2734
fra,2007,71.09663
fra,2008,70.62646
fra,2009,70.67965
fra,2010,70.44328
fra,2011,70.20536
fra,2012,70.29096
fra,2013,70.43659
fra,2014,70.49736
fra,2015,72.36743
fra,2016,75.13102
fra,2017,75.85519
fra,2018,75.93455
fra,2019,75.31172
fsm,2000,22.51299
fsm,2001,21.58382
fsm,2002,21.49479
fsm,2003,22.01756
fsm,2004,19.33326
fsm,2005,14.99797
fsm,2006,24.33445
fsm,2007,22.2297
fsm,2008,24.57088
fsm,2009,17.40961
fsm,2010,17.46848
fsm,2011,23.17686
fsm,2012,20.96425
fsm,2013,22.79587
fsm,2014,28.46776
fsm,2015,25.80774
fsm,2016,26.48985
fsm,2017,25.81771
fsm,2018,26.20495
fsm,2019,28.3328
gab,2000,36.61629
gab,2001,40.06394
gab,2002,36.0192
gab,2003,40.58119
gab,2004,40.81169
gab,2005,35.93405
gab,2006,38.70806
gab,2007,38.98704
gab,2008,38.02322
gab,2009,40.12565
gab,2010,63.55135
gab,2011,61.99217
gab,2012,61.25045
gab,2013,64.17147
gab,2014,59.88136
gab,2015,58.90986
gab,2016,64.69581
gab,2017,63.28516
gab,2018,58.59865
gab,2019,60.31094
gbr,2000,76.71769
gbr,2001,76.49496
gbr,2002,77.45699
gbr,2003,78.55712
gbr,2004,80.17209
gbr,2005,81.28638
gbr,2006,82.05461
gbr,2007,80.38816
gbr,2008,81.49571
gbr,2009,82.74048
gbr,2010,82.14569
gbr,2011,81.89387
gbr,2012,81.22113
gbr,2013,79.89542
gbr,2014,80.01236
gbr,2015,80.008
gbr,2016,80.28693
gbr,2017,79.66086
gbr,2018,79.38203
gbr,2019,79.46803
geo,2000,11.4094
geo,2001,15.83655
geo,2002,14.35726
geo,2003,14.28572
geo,2004,14.56548
geo,2005,14.92228
geo,2006,15.5268
geo,2007,14.70362
geo,2008,18.17633
geo,2009,21.42453
geo,2010,21.31313
geo,2011,17.48286
geo,2012,19.44318
geo,2013,23.55812
geo,2014,27.60163
geo,2015,35.56967
geo,2016,36.64026
geo,2017,37.21465
geo,2018,39.4615
geo,2019,40.81562
gha,2000,27.79786
gha,2001,33.52887
gha,2002,24.14487
gha,2003,29.12044
gha,2004,26.14985
gha,2005,40.35145
gha,2006,40.0498
gha,2007,43.21104
gha,2008,45.15097
gha,2009,49.34489
gha,2010,56.09033
gha,2011,50.243
gha,2012,49.20705
gha,2013,40.46256
gha,2014,35.07661
gha,2015,35.08223
gha,2016,38.35555
gha,2017,32.37766
gha,2018,39.45598
gha,2019,40.2408
gin,2000,6.34792
gin,2001,7.5902
gin,2002,11.93944
gin,2003,8.83474
gin,2004,5.05304
gin,2005,6.46364
gin,2006,6.87837
gin,2007,7.01179
gin,2008,8.26405
gin,2009,7.27534
gin,2010,10.59064
gin,2011,13.46776
gin,2012,14.67797
gin,2013,14.1177
gin,2014,12.77202
gin,2015,7.3902
gin,2016,12.29851
gin,2017,15.34208
gin,2018,16.51499
gin,2019,22.52399
gmb,2000,8.80672
gmb,2001,10.39862
gmb,2002,8.29807
gmb,2003,10.24159
gmb,2004,13.6946
gmb,2005,13.85896
gmb,2006,13.87309
gmb,2007,12.09247
gmb,2008,12.95759
gmb,2009,16.98518
gmb,2010,17.53494
gmb,2011,18.44702
gmb,2012,22.70218
gmb,2013,27.69123
gmb,2014,24.53649
gmb,2015,31.43109
gmb,2016,35.02272
gmb,2017,25.59828
gmb,2018,21.91521
gmb,2019,27.2481
gnb,2000,46.68306
gnb,2001,43.04863
gnb,2002,29.78386
gnb,2003,38.19822
gnb,2004,43.08678
gnb,2005,37.08516
gnb,2006,34.12672
gnb,2007,34.67361
gnb,2008,31.43608
gnb,2009,38.38631
gnb,2010,16.57773
gnb,2011,7.02833
gnb,2012,8.4866
gnb,2013,7.83585
gnb,2014,5.98356
gnb,2015,6.61313
gnb,2016,5.81887
gnb,2017,7.11933
gnb,2018,7.25843
gnb,2019,6.37637
gnq,2000,14.86394
gnq,2001,8.6169
gnq,2002,6.75565
gnq,2003,10.09255
gnq,2004,9.6426
gnq,2005,13.78175
gnq,2006,17.20457
gnq,2007,18.44219
gnq,2008,16.28223
gnq,2009,31.88789
gnq,2010,24.94959
gnq,2011,26.06738
gnq,2012,41.4881
gnq,2013,22.77668
gnq,2014,21.47558
gnq,2015,19.01675
gnq,2016,22.08592
gnq,2017,19.96171
gnq,2018,20.11345
gnq,2019,21.25441
grc,2000,61.62643
grc,2001,63.20638
grc,2002,60.45769
grc,2003,59.86406
grc,2004,58.6246
grc,2005,60.83424
grc,2006,61.60877
grc,2007,63.33696
grc,2008,65.33537
grc,2009,68.3194
grc,2010,68.90443
grc,2011,65.70302
grc,2012,63.60382
grc,2013,61.02864
grc,2014,56.98417
grc,2015,56.8612
grc,2016,52.12161
grc,2017,52.10578
grc,2018,51.6619
grc,2019,48.12552
