geo,time,bx_gsr_gnfs_cd
swe,1971,9016943889.57311
swe,1972,10614358958.641
swe,1973,14578968461.7503
swe,1974,18838025198.9476
swe,1975,20690398179.278
swe,1976,21911281064.0395
swe,1977,22838616438.4542
swe,1978,26252068564.5555
swe,1979,33996232789.3991
swe,1980,38150661837.9649
swe,1981,35424096816.9644
swe,1982,33096606109.7755
swe,1983,33495406393.0971
swe,1984,35415908360.0682
swe,1985,36293653867.7031
swe,1986,43509416341.7727
swe,1987,52931534423.8196
swe,1988,59786901844.66231
swe,1989,62425563400.5852
swe,1990,70530174752.44031
swe,1991,69267275585.8822
swe,1992,71383204860.96581
swe,1993,61784992551.0904
swe,1994,73657589652.87801
swe,1995,95254847885.5416
swe,1996,101343951800.481
swe,1997,100684299120.34599
swe,1998,104804062889.366
swe,1999,106252860497.453
swe,2000,112227737549.022
swe,2001,105202592121.342
swe,2002,106823918098.481
swe,2003,131438340214.92101
swe,2004,161225069379.25699
swe,2005,173974747164.46701
swe,2006,199241616328.56601
swe,2007,234879724079.28799
swe,2008,257015521094.78101
swe,2009,188341802715.90897
swe,2010,220276557566.513
swe,2011,261941660303.88297
swe,2012,249176852687.11496
swe,2013,254407212320.62601
swe,2014,255666058590.125
swe,2015,222422157999.733
swe,2016,220407589842.371
swe,2017,237410885613.89001
swe,2018,254253229122.362
swe,2019,257293455257.33801
swe,2020,243711398549.04901
swz,1974,201772833.04603
swz,1975,222039591.63917
swz,1976,219189999.8094
swz,1977,213094999.8147
swz,1978,218844999.8097
swz,1979,272914289.32184
swz,1980,404322495.19822
swz,1981,429135182.77499
swz,1982,356874516.09509
swz,1983,345031864.3625
swz,1984,274456839.52247
swz,1985,204067439.22691
swz,1986,308897250.9107
swz,1987,478037360.22658
swz,1988,532006725.40953
swz,1989,586156704.36033
swz,1990,657939277.59893
swz,1991,685108363.22549
swz,1992,736847672.27372
swz,1993,777380320.69498
swz,1994,897135996.17739
swz,1995,1011189701.92317
swz,1996,938987703.37138
swz,1997,1036826550.56809
swz,1998,1057534819.80018
swz,1999,988014345.45552
swz,2000,1238723003.95519
swz,2001,1141001936.20822
swz,2002,1160640999.81532
swz,2003,1840984217.66661
swz,2004,1981709323.93005
swz,2005,1804657347.19888
swz,2006,1837866384.44009
swz,2007,2118892308.73347
swz,2008,1744253068.11351
swz,2009,1775452988.44225
swz,2010,2062825042.0674
swz,2011,1676679458.10353
swz,2012,1786829765.2051
swz,2013,1849915820.46491
swz,2014,1938091784.79657
swz,2015,1743678940.01885
swz,2016,1695049828.06576
swz,2017,1914980625.92333
swz,2018,1899341355.88341
swz,2019,2069780579.65426
swz,2020,1807821427.19826
sxm,2011,1026631284.9162
sxm,2012,1170134078.21229
sxm,2013,1227022346.36872
sxm,2014,1247502793.29609
sxm,2015,1215687150.83799
sxm,2016,1164083798.88268
sxm,2017,962082537.77654
sxm,2018,801576504.78771
sxm,2019,1090627247.02793
sxm,2020,526289007.41899
syc,1976,36932781.89222
syc,1977,53065505.46591
syc,1978,70435432.99794
syc,1979,89847158.48856
syc,1980,96868879.58927
syc,1981,93335279.51511
syc,1982,81603739.54377
syc,1983,81792119.20006
syc,1984,100041052.75501
syc,1985,116625404.74959
syc,1986,127685033.00406
syc,1987,152937662.29603
syc,1988,181687006.39571
syc,1989,178586648.32817
