geo,time,sl_fam_work_zs
cmr,2009,22.71
cmr,2010,20.99
cmr,2011,19.4
cmr,2012,17.38
cmr,2013,16.09
cmr,2014,14.75
cmr,2015,14.33
cmr,2016,13.58
cmr,2017,12.23
cmr,2018,11.13
cmr,2019,10.43
cod,1991,41.54
cod,1992,41.67
cod,1993,41.4
cod,1994,41.02
cod,1995,40.42
cod,1996,34.65
cod,1997,38.75
cod,1998,38.68
cod,1999,39.21
cod,2000,36.61
cod,2001,31.35
cod,2002,29.36
cod,2003,30.81
cod,2004,28.35
cod,2005,27.89
cod,2006,28.44
cod,2007,27.82
cod,2008,25.58
cod,2009,25.38
cod,2010,21.94
cod,2011,20.28
cod,2012,19.22
cod,2013,17.93
cod,2014,16.62
cod,2015,16.69
cod,2016,16.89
cod,2017,16.13
cod,2018,14.67
cod,2019,15.49
cog,1991,14.65
cog,1992,14.81
cog,1993,14.86
cog,1994,13.49
cog,1995,13.47
cog,1996,12.16
cog,1997,11.44
cog,1998,13.18
cog,1999,9.88
cog,2000,7.14
cog,2001,8.34
cog,2002,8.63
cog,2003,8.86
cog,2004,7.59
cog,2005,6.11
cog,2006,5.08
cog,2007,5.68
cog,2008,4.28
cog,2009,5.38
cog,2010,3.34
cog,2011,3.03
cog,2012,2.92
cog,2013,3.15
cog,2014,3.14
cog,2015,4.06
cog,2016,4.44
cog,2017,4.09
cog,2018,3.79
cog,2019,3.07
col,1991,6.65
col,1992,6.6
col,1993,6.52
col,1994,6.43
col,1995,6.33
col,1996,6.3
col,1997,6.24
col,1998,6.24
col,1999,6.38
col,2000,6.34
col,2001,6.24
col,2002,5.75
col,2003,5.97
col,2004,5.39
col,2005,5.1
col,2006,4.76
col,2007,4.43
col,2008,4.13
col,2009,5.03
col,2010,4.62
col,2011,4.51
col,2012,4.72
col,2013,4.43
col,2014,4.26
col,2015,4.04
col,2016,3.68
col,2017,3.65
col,2018,3.54
col,2019,3.34
com,1991,16.99
com,1992,16.55
com,1993,16.32
com,1994,16.18
com,1995,16.08
com,1996,15.89
com,1997,15.64
com,1998,15.39
com,1999,15.09
com,2000,14.78
com,2001,14.47
com,2002,14.16
com,2003,13.86
com,2004,13.54
com,2005,12.43
com,2006,11.39
com,2007,9.69
com,2008,8.91
