geo,time,en_atm_noxe_eg_kt_ce
kaz,1997,540
kaz,1998,520
kaz,1999,440
kaz,2000,530
kaz,2001,530
kaz,2002,590
kaz,2003,650
kaz,2004,690
kaz,2005,750
kaz,2006,830
kaz,2007,910
kaz,2008,870
kaz,2009,900
kaz,2010,980
kaz,2011,940
kaz,2012,1060
kaz,2013,1030
kaz,2014,1050
kaz,2015,1060
kaz,2016,1060
kaz,2017,1060
kaz,2018,1050
ken,1990,590
ken,1991,600
ken,1992,610
ken,1993,630
ken,1994,640
ken,1995,650
ken,1996,670
ken,1997,680
ken,1998,690
ken,1999,710
ken,2000,720
ken,2001,760
ken,2002,790
ken,2003,830
ken,2004,870
ken,2005,910
ken,2006,940
ken,2007,970
ken,2008,1010
ken,2009,1040
ken,2010,1070
ken,2011,1130
ken,2012,1190
ken,2013,1250
ken,2014,1310
ken,2015,1370
ken,2016,1390
ken,2017,1410
ken,2018,1430
kgz,1990,80
kgz,1991,80
kgz,1992,60
kgz,1993,40
kgz,1994,30
kgz,1995,30
kgz,1996,40
kgz,1997,40
kgz,1998,40
kgz,1999,40
kgz,2000,40
kgz,2001,40
kgz,2002,40
kgz,2003,50
kgz,2004,40
kgz,2005,40
kgz,2006,50
kgz,2007,60
kgz,2008,60
kgz,2009,70
kgz,2010,80
kgz,2011,80
kgz,2012,90
kgz,2013,90
kgz,2014,100
kgz,2015,100
kgz,2016,100
kgz,2017,100
kgz,2018,100
khm,1990,170
khm,1991,190
khm,1992,210
khm,1993,230
khm,1994,250
khm,1995,260
khm,1996,270
khm,1997,280
khm,1998,290
khm,1999,300
khm,2000,320
khm,2001,330
khm,2002,350
khm,2003,370
khm,2004,390
khm,2005,400
khm,2006,400
khm,2007,400
khm,2008,400
khm,2009,400
khm,2010,400
khm,2011,450
