geo,time,se_ter_enrr_ma
swz,1996,6.31022
swz,1999,5.10632
swz,2000,4.64899
swz,2002,4.17567
swz,2004,5.58633
swz,2005,5.12519
swz,2006,5.25079
swz,2011,8.47977
swz,2013,6.95045
sxm,2012,3.53218
sxm,2014,3.00401
sxm,2015,2.6465
syc,2011,1.21137
syc,2012,0.62329
syc,2013,1.99747
syc,2014,3.69318
syc,2015,9.23812
syc,2016,12.89084
syc,2017,12.09792
syc,2018,11.23562
syc,2019,12.02186
syc,2020,8.75505
syr,1971,11.71837
syr,1972,13.33661
syr,1973,12.812
syr,1974,13.28426
syr,1975,14.23101
syr,1976,14.57862
syr,1977,17.79178
syr,1978,19.11452
syr,1979,20.96332
syr,1980,19.61244
syr,1981,22.86704
syr,1982,21.81801
syr,1983,21.8151
syr,1984,21.53748
syr,1985,22.5865
syr,1986,22.47671
syr,1987,21.98799
syr,1988,23.93738
syr,1989,22.78465
syr,1990,21.95673
syr,1991,21.61085
syr,1992,20.23327
syr,1993,19.70031
syr,1994,17.79528
syr,1995,16.94421
syr,2002,13.24606
syr,2003,13.68787
syr,2004,16.14686
syr,2005,19.10848
syr,2006,21.72367
syr,2007,23.91614
syr,2008,25.27954
syr,2009,25.07154
syr,2010,27.68718
syr,2011,25.9288
syr,2012,31.20227
syr,2013,32.87677
syr,2014,41.09886
syr,2015,40.70756
syr,2016,37.47059
syr,2019,40.50947
tca,2008,0.09217
tca,2010,0.17841
tcd,1971,0
tcd,1972,0.02944
tcd,1973,0.14559
tcd,1974,0.3299
tcd,1975,0.22957
tcd,1976,0.28861
tcd,1977,0.39378
tcd,1985,0.72052
tcd,1996,0.97648
tcd,1997,1.01814
tcd,1998,1.25135
tcd,2000,1.40298
tcd,2001,1.39413
tcd,2003,1.65001
tcd,2004,2.10322
tcd,2005,2.66134
tcd,2008,3.37849
tcd,2009,3.41513
tcd,2010,3.56014
tcd,2011,3.56856
tcd,2014,5.72424
tcd,2015,5.03183
tgo,1972,1.32369
tgo,1973,1.35397
tgo,1974,1.29332
tgo,1975,1.38578
tgo,1976,1.95659
tgo,1977,2.20581
tgo,1978,2.35568
tgo,1979,2.39495
tgo,1980,2.69538
tgo,1981,3.45826
tgo,1982,3.03516
tgo,1983,2.7499
tgo,1984,2.72208
tgo,1987,3.67584
tgo,1988,4.07029
tgo,1990,4.1535
tgo,1991,4.55533
tgo,1992,5.1813
tgo,1993,4.39212
tgo,1994,4.46921
tgo,1995,5.12086
tgo,1996,5.044
tgo,1998,5.51913
tgo,2011,15.17482
tgo,2012,16.85204
tgo,2013,16.63509
tgo,2014,15.90545
tgo,2015,16.20812
tgo,2016,17.79518
tgo,2017,17.7924
tgo,2018,18.07633
tgo,2019,17.94467
tgo,2020,19.71367
tha,1976,4.01985
tha,1977,4.77613
tha,1978,5.86522
tha,1993,17.97042
tha,1999,30.00953
tha,2000,31.56074
tha,2001,36.42242
tha,2002,37.77482
tha,2003,38.04725
tha,2004,38.521
tha,2005,41.99193
tha,2006,43.50864
tha,2007,44.28571
tha,2008,44.5085
tha,2009,44.89158
tha,2010,44.26979
tha,2011,45.99023
tha,2012,43.79965
tha,2013,42.38451
tha,2014,42.74183
tha,2016,41.04878
tjk,1999,23.70633
tjk,2000,24.54164
tjk,2001,24.47424
tjk,2002,24.32452
tjk,2003,25.91197
tjk,2004,27.42003
tjk,2005,27.78853
tjk,2006,29.06256
tjk,2007,30.22841
tjk,2008,30.50208
tjk,2009,29.76828
tjk,2010,29.93296
tjk,2011,29.14777
tjk,2012,29.692
tjk,2013,29.19535
tjk,2014,30.5682
tjk,2015,31.6352
tjk,2016,33.76402
tjk,2017,35.47167
tkm,2014,9.70365
tkm,2019,15.58207
tkm,2020,16.60342
tls,2002,8.05709
tls,2009,19.86103
tls,2010,20.62519
ton,1970,0
ton,1978,2.32458
ton,1979,2.1875
ton,1981,7.83419
ton,1984,5.35971
ton,1985,5.29392
ton,1999,2.98019
ton,2002,4.20884
ton,2003,4.82721
ton,2020,10.75697
tto,1971,3.18326
tto,1972,3.28818
tto,1973,3.28404
tto,1974,3.29948
tto,1975,3.26957
tto,1976,5.4022
tto,1977,5.552
tto,1978,5.6237
tto,1979,5.57716
tto,1980,5.33166
tto,1981,4.94293
tto,1982,5.19241
tto,1983,4.28058
tto,1984,4.75197
tto,1985,5.53507
tto,1986,6.66205
tto,1987,6.8274
tto,1989,8.23377
tto,1991,7.40023
tto,1992,7.98873
tto,1993,8.49658
tto,1999,5.22276
tto,2000,4.88179
tto,2001,5.10326
tto,2002,6.99148
tto,2003,6.77947
tto,2004,10.56385
tun,1971,4.50995
tun,1972,4.2105
