geo,time,dt_nfl_unfp_cd
som,1990,810000.00238
som,1992,9999.99978
som,1993,19999.99955
som,1994,9999.99978
som,1995,409999.99642
som,1996,39999.99911
som,1997,600000.02384
som,1998,930000.00715
som,1999,620000.00477
som,2000,360000.01431
som,2001,150000.00596
som,2002,620000.00477
som,2003,550000.01192
som,2004,400000.00596
som,2005,159999.99642
som,2006,930000.00715
som,2007,2180000.06676
som,2008,2019999.98093
som,2009,2109999.8951
som,2010,1820000.05245
som,2011,2089999.91417
som,2012,2477519.98901
som,2013,3603907.10831
som,2014,3472647.66693
som,2015,4693710.32715
som,2016,4357389.92691
som,2017,2724065.78064
som,2018,2440769.91081
som,2019,3199479.57993
srb,2000,70000.0003
srb,2001,1559999.94278
srb,2002,2009999.99046
srb,2003,990000.00954
srb,2004,219999.99881
srb,2005,289999.99166
srb,2006,289999.99166
srb,2007,639999.98569
srb,2008,649999.97616
srb,2009,119999.99732
srb,2010,689999.99762
srb,2011,730000.01907
srb,2012,484172.99986
srb,2013,145530.99871
srb,2014,305632.59125
srb,2015,353094.01155
srb,2016,360996.90199
srb,2017,637183.78544
srb,2018,396429.98576
srb,2019,550106.76384
ssd,2012,2867196.08307
ssd,2013,3706368.92319
ssd,2014,5114103.31726
ssd,2015,3592742.6815
ssd,2016,3873005.39017
ssd,2017,2608247.51854
ssd,2018,3579750.06104
ssd,2019,6055066.58554
stp,1980,140000.0006
stp,1981,39999.99911
stp,1982,150000.00596
stp,1983,170000.00179
stp,1984,129999.99523
