geo,time,nv_ind_totl_kd
pol,2017,150512800106.11499
pol,2018,160827430693.72601
pol,2019,164374850775.965
pol,2020,155884600079.586
pri,2015,52657700000
prt,1995,36965974940.3332
prt,1996,39711882874.54449
prt,1997,42241150650.2711
prt,1998,43948906234.4437
prt,1999,44857295504.3594
prt,2000,46667973942.318
prt,2001,47653418882.4875
prt,2002,46778725519.0602
prt,2003,45837252793.7719
prt,2004,46238650148.3164
prt,2005,45088103032.9445
prt,2006,45312139204.3582
prt,2007,46266118358.9496
prt,2008,45042121490.21829
prt,2009,41288923416.534
prt,2010,41943132159.31049
prt,2011,41225062073.5754
prt,2012,38823120887.664
prt,2013,37967048479.08009
prt,2014,38019928972.9601
prt,2015,38810823046.7844
prt,2016,39293600952.8305
prt,2017,40921274115.5836
prt,2018,42710234948.22109
prt,2019,43268966778.2207
prt,2020,40927187819.2906
pry,1962,1073225343.58471
pry,1963,1125996637.541
pry,1964,1176309910.56936
pry,1965,1240228404.81438
pry,1966,1293358349.95549
pry,1967,1450939621.10604
pry,1968,1474781723.08207
pry,1969,1553244356.55956
pry,1970,1611010559.32378
pry,1971,1693471357.96341
pry,1972,1911419021.00493
pry,1973,2079504469.70104
pry,1974,2329150119.58327
pry,1975,2390982889.54855
pry,1976,2543385416.32873
pry,1977,3050304855.3812
pry,1978,3494214652.20224
pry,1979,3888966064.53002
pry,1980,4521589832.10341
pry,1981,4904407495.71003
pry,1982,4770020223.96737
pry,1983,4596228545.48219
pry,1984,4735139634.55976
pry,1985,4974799937.94331
pry,1986,5335528377.48778
pry,1987,5757276166.8489
pry,1988,6280599615.41396
pry,1989,6394071166.67638
pry,1990,6863430370.66069
pry,1991,7185953268.4616
pry,1992,7217877075.41069
pry,1993,7548782703.29434
pry,1994,7845517983.13017
pry,1995,8363282320.55063
pry,1996,8512207921.63585
pry,1997,8854489304.62864
pry,1998,8777313967.88459
pry,1999,8659654680.0332
pry,2000,8496092048.63347
pry,2001,8139044929.12352
pry,2002,8050109897.94421
pry,2003,8463444995.63304
pry,2004,8706054683.37671
pry,2005,8700947823.42821
pry,2006,8967704026.26534
pry,2007,9061936763.55908
pry,2008,9722381442.55214
pry,2009,9603007535.55817
pry,2010,9972911981.65112
pry,2011,10486898742.1039
pry,2012,10822753010.9391
pry,2013,11482183362.8568
pry,2014,11938294370.9445
pry,2015,12402213792.475
pry,2016,13239785202.8601
