geo,time,fb_ast_nper_zs
lva,2017,5.50698
lva,2018,5.2884
lva,2019,5.00157
lva,2020,3.09138
lva,2021,2.47281
mac,2010,0.39313
mac,2011,0.34472
mac,2012,0.18726
mac,2013,0.09234
mac,2014,0.11844
mac,2015,0.11984
mac,2016,0.19562
mac,2017,0.22749
mac,2018,0.21715
mac,2019,0.23974
mac,2020,0.34755
mac,2021,0.64108
mco,2010,0.39313
mco,2011,0.34472
mco,2012,0.18726
mco,2013,0.09234
mco,2014,0.11844
mco,2015,0.11984
mco,2016,0.19562
mco,2017,0.22749
mco,2018,0.21715
mco,2019,0.23974
mda,2009,16.38869
mda,2010,13.33758
mda,2011,10.67589
mda,2012,14.49959
mda,2013,11.57737
mda,2014,11.72896
mda,2015,9.91787
mda,2016,16.40515
mda,2017,18.24683
mda,2018,12.49169
mda,2019,8.49631
mda,2020,7.37754
mda,2021,6.12733
mdg,2005,7.60793
mdg,2006,6.35708
mdg,2007,7.38091
mdg,2008,7.17687
mdg,2009,8.7942
mdg,2010,10.02172
mdg,2011,11.81984
mdg,2012,11.56511
mdg,2013,12.18385
mdg,2014,10.29283
mdg,2015,9.30747
mdg,2016,8.82196
mdg,2017,8.14394
mdg,2018,7.62317
mdg,2019,7.34702
mdg,2020,7.57206
mdv,2012,20.9247
mdv,2013,17.56783
mdv,2014,17.47688
mdv,2015,14.0581
mdv,2016,10.63048
mdv,2017,10.45473
mdv,2018,8.89625
mdv,2019,9.39161
mdv,2020,8.27737
mex,2005,2.33849
mex,2006,1.77932
mex,2007,2.34729
mex,2008,3.06383
mex,2009,2.81016
mex,2010,2.04329
mex,2011,2.11572
mex,2012,2.44416
mex,2013,3.2432
mex,2014,3.03674
mex,2015,2.52321
mex,2016,2.08748
mex,2017,2.08987
mex,2018,2.05085
mex,2019,2.09046
mex,2020,2.4292
mkd,2005,14.89285
mkd,2006,11.21371
mkd,2007,7.51449
mkd,2008,6.71463
mkd,2009,8.93737
mkd,2010,9.04071
mkd,2011,9.52269
mkd,2012,10.1124
mkd,2013,10.93957
mkd,2014,10.80591
mkd,2015,10.31445
mkd,2016,6.28661
mkd,2017,6.09844
mkd,2018,5.03609
mkd,2019,4.62471
mkd,2020,3.2613
mlt,2005,8.20906
mlt,2006,6.47014
mlt,2007,5.31016
mlt,2008,5.01177
mlt,2009,5.78361
mlt,2010,7.01547
mlt,2011,7.08872
mlt,2012,7.75197
mlt,2013,8.94794
mlt,2014,9.0496
mlt,2015,7.09795
mlt,2016,5.29469
mlt,2017,4.06995
mlt,2018,3.35529
mlt,2019,3.20818
mlt,2020,3.66293
mne,2006,2.88925
mne,2007,3.20084
mne,2008,7.27536
mne,2009,13.55044
mne,2010,20.92947
mne,2011,15.29105
mne,2012,17.30251
mne,2013,20.30848
mne,2014,18.58656
mne,2015,14.57836
mne,2016,11.35437
mne,2017,8.29218
mne,2018,7.35692
mne,2019,5.09128
mne,2020,5.86673
mne,2021,6.82517
moz,2013,2.66178
moz,2014,3.24437
moz,2015,4.30633
moz,2016,5.72611
moz,2017,12.63505
moz,2018,11.11834
moz,2019,10.15823
moz,2020,9.82506
moz,2021,10.60461
mus,2009,3.29243
mus,2010,2.76498
mus,2011,2.80758
mus,2012,3.63708
mus,2013,4.15037
mus,2014,4.91975
mus,2015,7.19532
mus,2016,7.7566
mus,2017,7.02947
mus,2018,6.5213
mus,2019,4.94032
mus,2020,6.20571
mwi,2015,7.27171
mwi,2016,10.29958
mwi,2017,8.55433
mwi,2018,2.82844
mwi,2019,5.06308
mwi,2020,5.42545
mys,2005,9.39024
mys,2006,8.4956
mys,2007,6.49881
mys,2008,4.80818
mys,2009,3.62657
mys,2010,3.35403
mys,2011,2.68139
mys,2012,2.01584
mys,2013,1.84915
mys,2014,1.64579
mys,2015,1.60683
mys,2016,1.61427
mys,2017,1.54919
mys,2018,1.46819
mys,2019,1.51612
mys,2020,1.56713
mys,2021,1.44904
nam,2010,1.96473
nam,2011,1.48635
nam,2012,1.33735
nam,2013,1.28556
nam,2014,1.45334
nam,2015,1.5517
nam,2016,1.54455
nam,2017,2.58557
nam,2018,3.57917
nam,2019,4.56492
nam,2020,6.39332
nga,2007,9.50262
nga,2008,7.19359
nga,2009,37.25329
nga,2010,20.1431
nga,2011,5.77163
nga,2012,3.70522
nga,2013,3.39339
nga,2014,2.96313
nga,2015,4.86089
nga,2016,12.81506
nga,2017,14.80963
nga,2018,11.67453
nga,2019,6.03472
nga,2020,6.02452
nic,2008,2.46771
nic,2009,2.54935
nic,2010,2.04404
nic,2011,1.91366
nic,2012,1.8814
nic,2013,1.97868
nic,2014,0.99777
nic,2015,0.88556
nic,2016,0.8607
nic,2017,1.03939
nic,2018,2.42628
nic,2019,3.10142
nic,2020,3.69993
nld,2008,1.6814
nld,2009,3.20169
nld,2010,2.83235
nld,2011,2.71088
nld,2012,3.09784
nld,2013,3.22717
nld,2014,2.98266
nld,2015,2.71198
nld,2016,2.54053
nld,2017,2.30543
nld,2018,1.95988
nld,2019,1.85075
nld,2020,1.88261
nor,2009,1.27871
nor,2010,1.51981
nor,2011,1.68435
nor,2012,1.51216
nor,2013,1.33873
nor,2014,1.13089
nor,2015,1.05338
nor,2016,1.18473
nor,2017,1.0004
nor,2018,0.74643
nor,2019,0.80113
nor,2020,0.73607
npl,2016,1.68434
npl,2017,1.69909
