geo,time,is_shp_gcnw_xq
idn,2016,33.27202
idn,2017,44.1531
idn,2018,43.19978
idn,2019,45.66315
idn,2020,34.91325
ind,2006,39.03195
ind,2007,43.34773
ind,2008,46.4805
ind,2009,45.06278
ind,2010,43.76873
ind,2011,48.58265
ind,2012,43.0775
ind,2013,46.18842
ind,2014,47.31624
ind,2015,50.35197
ind,2016,56.52174
ind,2017,55.37983
ind,2018,55.54253
ind,2019,54.28309
ind,2020,57.21854
irl,2006,11.33595
irl,2007,12.55319
irl,2008,9.94454
irl,2009,9.72551
irl,2010,8.16695
irl,2011,7.68289
irl,2012,12.06514
irl,2013,11.28831
irl,2014,12.32108
irl,2015,12.57633
irl,2016,11.84054
irl,2017,11.59534
irl,2018,14.12884
irl,2019,13.88764
irl,2020,12.70391
irn,2006,26.0779
irn,2007,25.72653
irn,2008,22.63774
irn,2009,29.93699
irn,2010,30.33116
irn,2011,29.07749
irn,2012,23.01898
irn,2013,18.98232
irn,2014,19.90595
irn,2015,26.87947
irn,2016,29.86387
irn,2017,35.70256
irn,2018,18.40722
irn,2019,18.07725
irn,2020,31.24032
irq,2006,1.83844
irq,2007,3.11015
irq,2008,4.28557
irq,2009,5.25187
irq,2010,6.39436
irq,2011,7.02176
irq,2012,6.27168
irq,2013,7.04702
irq,2014,8.80046
irq,2015,10.40007
irq,2016,11.44086
irq,2017,23.93114
irq,2018,24.6096
irq,2019,24.26601
irq,2020,34.39329
isl,2006,5.2434
isl,2007,5.24864
isl,2008,5.1548
isl,2009,4.92567
isl,2010,4.90966
isl,2011,4.83014
isl,2012,4.94807
isl,2013,5.12068
isl,2014,5.32977
isl,2015,5.22071
isl,2016,4.97646
isl,2017,5.46039
isl,2018,5.48112
isl,2019,6.14483
isl,2020,6.98447
isr,2006,23.26224
isr,2007,22.28416
isr,2008,22.47414
isr,2009,23.99744
isr,2010,25.79018
isr,2011,23.31779
isr,2012,30.78083
isr,2013,30.00395
isr,2014,31.75083
isr,2015,34.28092
isr,2016,37.65001
isr,2017,38.55867
isr,2018,38.66734
isr,2019,41.31575
isr,2020,41.5863
