geo,time,sh_h2o_smdw_ru_zs
prk,2006,53.95241
prk,2007,53.55856
prk,2008,53.1647
prk,2009,52.77085
prk,2010,52.377
prk,2011,51.98314
prk,2012,51.58929
prk,2013,51.19544
prk,2014,50.80158
prk,2015,50.40773
prk,2016,50.01388
prk,2017,49.62002
prk,2018,49.22617
prk,2019,48.83232
prk,2020,48.83232
prt,2000,89.21591
prt,2001,89.29628
prt,2002,89.37666
prt,2003,89.45704
prt,2004,89.53741
prt,2005,89.61779
prt,2006,89.69816
prt,2007,89.77854
prt,2008,89.85891
prt,2009,89.93929
prt,2010,90.21843
prt,2011,90.49793
prt,2012,90.77778
prt,2013,91.05799
prt,2014,91.33855
prt,2015,91.53803
prt,2016,91.73751
prt,2017,91.93699
prt,2018,92.13646
prt,2019,92.33594
prt,2020,92.53542
pry,2000,27.01531
pry,2001,28.39472
pry,2002,29.77413
pry,2003,31.15354
pry,2004,32.53295
pry,2005,33.91236
pry,2006,35.29177
pry,2007,36.67118
pry,2008,38.05059
pry,2009,39.43
pry,2010,40.80941
pry,2011,42.18882
pry,2012,43.56823
pry,2013,44.94764
pry,2014,46.32705
pry,2015,47.70646
pry,2016,49.08587
pry,2017,50.46528
pry,2018,50.72869
pry,2019,50.72869
pry,2020,50.72869
pse,2000,67.50962
pse,2001,67.91578
pse,2002,68.32193
pse,2003,68.72809
pse,2004,69.13424
pse,2005,69.5404
pse,2006,69.94655
pse,2007,70.35271
pse,2008,70.75887
pse,2009,71.16502
pse,2010,71.57118
pse,2011,71.97733
pse,2012,72.38349
pse,2013,72.78964
pse,2014,73.1958
pse,2015,73.60195
pse,2016,74.00811
pse,2017,74.41426
pse,2018,74.82042
pse,2019,75.22657
pse,2020,75.63273
rou,2000,66.65007
rou,2001,66.65007
rou,2002,66.65007
rou,2003,66.65007
rou,2004,66.65007
rou,2005,66.65007
rou,2006,66.65007
rou,2007,66.65007
rou,2008,66.65007
rou,2009,66.65007
rou,2010,66.65007
rou,2011,66.65007
rou,2012,66.65007
rou,2013,66.65007
rou,2014,66.65007
rou,2015,66.65007
rou,2016,66.65007
rou,2017,66.65007
rou,2018,66.65007
rou,2019,66.65007
rou,2020,66.65007
rwa,2000,0.40105
rwa,2001,0.59542
rwa,2002,0.79535
rwa,2003,1.00082
rwa,2004,1.21186
