geo,time,en_atm_meth_kt_ce
eri,1991,2550
eri,1992,2670
eri,1993,2340
eri,1994,2470
eri,1995,2540
eri,1996,2840
eri,1997,3210
eri,1998,3370
eri,1999,3470
eri,2000,3520
eri,2001,3310
eri,2002,3260
eri,2003,3330
eri,2004,3350
eri,2005,3370
eri,2006,3260
eri,2007,3450
eri,2008,3460
eri,2009,3460
eri,2010,3360
eri,2011,3510
eri,2012,3550
eri,2013,3590
eri,2014,3610
eri,2015,3640
eri,2016,3690
eri,2017,3700
eri,2018,3730
esp,1990,34230
esp,1991,34340
esp,1992,34830
esp,1993,34430
esp,1994,34850
esp,1995,35280
esp,1996,36120
esp,1997,37830
esp,1998,38320
esp,1999,38980
esp,2000,39690
esp,2001,40430
esp,2002,40830
esp,2003,40980
