geo,time,sl_tlf_acti_1524_fe_ne_zs
prt,1984,57.19
prt,1985,55.46
prt,1986,53.01
prt,1987,54.28
prt,1988,53.93
prt,1989,53.32
prt,1990,53.04
prt,1991,50.99
prt,1992,45.99
prt,1993,43.01
prt,1994,41.56
prt,1995,38.93
prt,1996,38.28
prt,1997,39.77
prt,1998,43.35
prt,1999,42.1
prt,2000,39.9
prt,2001,41.55
prt,2002,41.76
prt,2003,41.4
prt,2004,38.02
prt,2005,38.1
prt,2006,37.64
prt,2007,37.84
prt,2008,38.08
prt,2009,37.23
prt,2010,34.22
prt,2011,35.87
prt,2012,34.91
prt,2013,33.75
prt,2014,33.85
prt,2015,32.82
prt,2016,31.25
prt,2017,32.34
prt,2018,31.7
prt,2019,32.45
prt,2020,28.04
pry,1962,27.23
pry,1972,27.24
pry,1982,23.48
pry,1989,54.23
pry,1990,50.62
pry,1991,49.28
pry,1992,51.52
pry,1993,53.97
pry,1994,53.11
pry,1995,56.8
pry,1996,54.4
pry,1998,42.82
pry,1999,38.75
pry,2001,44.33
pry,2002,46.65
pry,2003,42.4
pry,2004,46.78
pry,2005,44.2
pry,2006,44.29
pry,2007,42.18
pry,2008,44.55
pry,2009,48.64
pry,2010,43.21
pry,2011,46.13
pry,2012,47.39
pry,2013,46.89
pry,2014,43.12
pry,2015,40.26
pry,2016,45.15
pry,2017,42.99
pry,2018,46.67
pry,2019,47.16
pry,2020,43.95
pse,2000,6.34
pse,2001,4.99
pse,2002,5.04
pse,2003,6.35
pse,2004,6.28
pse,2005,6.18
pse,2006,6.53
pse,2007,7.37
pse,2008,8.39
pse,2009,8.28
pse,2010,7.59
pse,2011,8.5
pse,2012,8.26
pse,2013,7.42
pse,2014,8.04
pse,2015,10.38
pse,2016,10.7
pse,2017,11.18
pse,2018,9.99
pse,2019,10.26
pse,2020,8.81
pyf,1962,28.83
pyf,1983,18.95
pyf,1988,42.32
pyf,1996,34.99
pyf,2002,32.37
pyf,2007,30.32
pyf,2012,35.28
qat,1986,7.56
qat,1997,5.34
qat,2004,15.17
qat,2007,34.14
qat,2009,32.02
qat,2011,30.35
qat,2012,45.7
qat,2013,29.1
qat,2014,32.98
qat,2015,38.89
qat,2016,39.25
qat,2017,41.9
qat,2018,43.05
qat,2019,39.68
qat,2020,40.52
rou,1966,61.31
rou,1977,54.65
rou,1992,54.12
rou,1995,46.48
rou,1996,43.41
rou,1997,42.29
rou,1998,40.04
rou,1999,37.7
rou,2000,37.01
rou,2001,36.17
rou,2002,33.08
rou,2003,29.01
rou,2004,31.66
rou,2005,26.46
rou,2006,25.86
rou,2007,24.91
rou,2008,24.68
rou,2009,25.76
rou,2010,25.55
rou,2011,25.82
rou,2012,25.46
rou,2013,24.69
rou,2014,23.95
rou,2015,25.18
rou,2016,21.83
rou,2017,25.03
rou,2018,24.17
rou,2019,23.33
rou,2020,23.62
rus,1989,51.77
rus,1992,50.89
rus,1993,48.33
rus,1994,46.25
rus,1995,46
rus,1996,43.36
rus,1997,40.17
rus,1998,37.55
rus,1999,40.75
rus,2000,39.73
rus,2001,36.72
rus,2002,36.95
rus,2003,35.74
rus,2004,35.6
rus,2005,35.84
rus,2006,35.53
rus,2007,36.01
rus,2008,37.43
rus,2009,38.32
rus,2010,36.74
rus,2011,36.86
rus,2012,35.11
rus,2013,35.49
rus,2014,34.36
rus,2015,33.8
rus,2016,33.27
rus,2017,31.35
rus,2018,30.57
rus,2019,29.55
rus,2020,28.67
rwa,1978,91.75
rwa,1996,79.26
rwa,2014,65.22
rwa,2017,35.77
rwa,2018,35.04
rwa,2019,34.88
rwa,2020,38.7
sau,1992,6.65
sau,1999,8.76
sau,2000,7.66
sau,2001,7.05
sau,2002,7.24
sau,2006,8.89
sau,2007,7.52
sau,2008,7.02
sau,2009,6.46
sau,2011,7.8
sau,2012,8.42
sau,2013,8.9
sau,2014,8.73
sau,2015,8
sau,2016,8.15
sau,2017,6.87
sau,2018,7.96
sau,2019,9.7
sau,2020,12.86
sdn,1973,17.22
sdn,1983,29.03
sdn,1990,20.56
sdn,1993,23.04
sdn,1996,26.74
sdn,2008,26.3
sdn,2011,20.19
sen,1988,21.98
sen,2006,25.32
sen,2011,31.3
sen,2015,22.98
sen,2016,26.24
sen,2017,20.67
sen,2018,17.2
sen,2019,19.19
sgp,1970,47.85
sgp,1975,50.7
sgp,1976,53.72
sgp,1977,55.33
sgp,1978,56.59
sgp,1979,59.26
sgp,1980,63.51
sgp,1982,61.91
sgp,1983,60.92
sgp,1984,59.85
sgp,1985,57.93
sgp,1986,56.39
sgp,1987,55.69
sgp,1988,55.99
sgp,1989,56.39
sgp,1992,42.63
sgp,1993,40.91
sgp,1994,40.65
sgp,1995,35.41
sgp,1996,36.25
sgp,1997,34.19
sgp,1998,28.75
sgp,2012,36.38
sgp,2013,34.49
sgp,2014,35.44
sgp,2015,39.79
sgp,2016,37.69
sgp,2017,35.73
sgp,2018,36.93
sgp,2019,37.91
sgp,2020,35.43
slb,2013,71.71
sle,1963,43.05
sle,2003,45.05
