geo,time,nv_mnf_chem_zs_un
per,2008,11.31043
per,2009,11.07617
per,2010,10.28726
per,2011,9.61253
per,2012,10.49398
per,2013,7.5792
per,2014,7.66437
per,2015,7.22968
per,2016,7.45386
per,2017,6.84574
per,2018,6.79099
per,2019,6.74265
phl,1963,8.43682
phl,1964,10.15246
phl,1965,11.1691
phl,1966,12.28126
phl,1967,12.28126
phl,1968,11.92068
phl,1969,11.57722
phl,1970,12.72265
phl,1971,13.11848
phl,1972,13.41906
phl,1973,11.91982
phl,1974,10.02109
phl,1975,8.81875
phl,1976,13.57075
phl,1977,13.54223
phl,1978,11.9924
phl,1979,13.81195
phl,1980,14.08501
phl,1981,12.60285
phl,1982,9.92432
phl,1983,9.8598
phl,1984,10.55384
phl,1985,8.86658
phl,1986,11.40236
phl,1987,10.35842
phl,1988,12.24179
phl,1989,12.5462
phl,1990,11.80196
phl,1991,14.09743
phl,1992,15.06609
phl,1993,14.00242
phl,1994,13.03365
phl,1995,11.7102
phl,1996,10.61657
phl,1997,10.45052
phl,1998,9.72096
phl,1999,9.92627
phl,2000,9.92627
phl,2001,9.37768
phl,2002,9.37768
phl,2003,8.67554
phl,2004,8.67554
phl,2005,7.86843
phl,2006,6.46233
phl,2007,6.47014
phl,2008,5.72333
phl,2009,5.02477
phl,2010,7.35259
phl,2011,7.37639
phl,2012,5.05963
phl,2013,8.27178
phl,2014,7.47243
phl,2015,5.99939
phl,2016,6.00981
phl,2017,5.80499
phl,2018,5.81116
phl,2019,5.81116
png,1963,0
png,1964,0
png,1965,0
png,1966,0
png,1967,0
png,1968,0
png,1969,4.61718
png,1970,4.42533
png,1971,5.18338
png,1972,4.96175
png,1973,7.53524
png,1974,6.32177
png,1975,4.11986
png,1976,5.89307
png,1977,8.08182
png,1978,3.66125
png,1979,3.28568
png,1980,2.69395
png,1981,3.86117
png,1982,3.98667
png,1983,2.92519
png,1984,3.11512
png,1985,2.70575
png,1986,3.30751
png,1987,3.25206
png,1998,3.25206
png,1999,3.25206
png,2000,3.25206
png,2001,3.25206
pol,1963,7.0177
pol,1964,6.39944
pol,1965,6.01913
pol,1966,6.61251
pol,1967,7.04221
pol,1968,7.10905
pol,1969,7.43192
pol,1970,8.49007
pol,1971,6.98254
pol,1972,8.04939
pol,1973,8.54311
pol,1974,8.42697
pol,1975,8.30286
pol,1976,8.22167
pol,1977,9.04288
pol,1978,7.68822
pol,1979,8.06602
pol,1980,7.8744
pol,1981,8.14797
pol,1982,5.85377
pol,1983,5.42143
pol,1984,5.28119
pol,1985,5.64133
pol,1986,5.67875
pol,1987,6.13393
pol,1988,6.83646
pol,1989,6.35508
pol,1990,7.40876
pol,1991,7.36058
