geo,time,se_prm_gint_fe_zs
cyp,2014,98.33257
cyp,2015,96.00344
cyp,2016,97.30626
cyp,2017,97.71382
cze,1993,106.12386
cze,1994,105.78963
cze,1996,101.57962
cze,1999,99.60616
cze,2000,102.3787
cze,2001,99.4323
cze,2002,90.59384
cze,2003,91.88673
cze,2004,95.64834
cze,2005,102.13791
cze,2006,108.53249
cze,2007,109.11559
cze,2008,106.52457
cze,2009,104.36903
cze,2010,99.80857
cze,2011,97.04143
cze,2012,98.46433
cze,2013,98.65395
cze,2014,100.32419
cze,2015,103.8669
cze,2016,100.94792
cze,2017,100.83365
deu,1993,99.2082
deu,1994,101.10731
deu,1995,103.24972
deu,1996,102.94923
deu,1997,104.26762
deu,1999,100.92374
deu,2000,100.41727
deu,2001,99.64265
deu,2002,98.47791
deu,2003,101.74457
deu,2004,106.44308
deu,2005,103.64328
deu,2006,103.70339
deu,2007,101.92231
deu,2008,98.67946
deu,2009,100.21614
deu,2010,101.18375
deu,2011,100.26462
deu,2012,101.96196
deu,2013,99.24647
deu,2014,99.66579
deu,2015,103.42953
deu,2016,103.73594
deu,2017,104.88195
dji,1971,12.50508
dji,1972,13.25529
dji,1973,13.89675
dji,1974,16.34138
dji,1975,23.17148
dji,1976,16.93526
dji,1999,25.1917
dji,2000,27.16576
dji,2001,35.88043
dji,2002,37.49738
dji,2005,44.78279
dji,2006,48.89228
dji,2007,54.11752
dji,2008,65.69949
dji,2009,64.68614
dji,2011,71.68281
dji,2012,70.82007
dji,2013,75.47988
dji,2014,70.81615
dji,2015,67.10098
dji,2016,63.20685
dji,2017,66.02117
dji,2018,65.19103
dji,2019,75.78936
dma,1988,111.09799
dma,1999,109.42408
dma,2000,100.25063
dma,2001,101.41026
dma,2002,92.57294
dma,2003,87.41259
dma,2004,77.54491
dma,2005,105.13644
dma,2006,100.50761
dma,2007,105.37634
dma,2008,115.77947
dma,2009,113.07847
dma,2010,117.83439
dma,2011,107.77778
dma,2012,128.70159
dma,2013,116.01831
dma,2014,119.40639
dma,2015,120.04556
dma,2016,113.19444
dnk,1971,101.48282
dnk,1972,102.62253
dnk,1973,110.64005
dnk,1974,113.19314
dnk,1981,97.85994
dnk,1982,99.46232
dnk,1983,103.45781
dnk,1984,97.46278
dnk,1985,96.8874
dnk,1986,99.38524
dnk,1987,99.15432
dnk,1988,101.0174
dnk,1989,96.77478
dnk,1990,98.3192
dnk,1991,98.95581
dnk,1992,99.67806
dnk,1993,102.30837
dnk,1994,102.99795
dnk,1998,102.66018
dnk,1999,101.01225
dnk,2000,102.04764
dnk,2001,99.90225
dnk,2002,101.58601
dnk,2004,98.81207
dnk,2005,97.07783
dnk,2006,98.27638
dnk,2007,99.33831
dnk,2008,101.72451
dnk,2009,100.37644
dnk,2010,98.73693
dnk,2011,100.45176
dnk,2012,101.62167
dnk,2013,100.73539
dnk,2014,98.31504
dnk,2015,96.97569
dnk,2016,96.87036
dnk,2017,98.85739
dom,1971,140.62452
dom,1999,128.66704
dom,2000,125.75038
