country,time,cliberties_idea
irq,1994,16.74008
irq,1995,17.26205
irq,1996,16.41393
irq,1997,16.57915
irq,1998,16.42166
irq,1999,16.74209
irq,2000,16.47557
irq,2001,17.80594
irq,2002,18.08837
irq,2003,37.73732
irq,2004,48.58459
irq,2005,47.28518
irq,2006,45.6606
irq,2007,46.59427
irq,2008,44.37451
irq,2009,46.50108
irq,2010,45.83033
irq,2011,45.20306
irq,2012,45.38639
irq,2013,42.46444
irq,2014,42.64676
irq,2015,41.38413
irq,2016,43.31733
irq,2017,43.79101
irq,2018,45.21331
irq,2019,43.23573
isl,1975,75.12901
isl,1976,75.13232
isl,1977,75.18297
isl,1978,75.19254
isl,1979,75.29817
isl,1980,80.58353
isl,1981,81.40039
isl,1982,81.15083
isl,1983,81.3034
isl,1984,81.49775
isl,1985,81.35303
isl,1986,81.66345
isl,1987,82.1694
isl,1988,82.28147
isl,1989,82.40406
isl,1990,84.06802
isl,1991,84.06916
isl,1992,84.32587
isl,1993,84.08517
isl,1994,84.09474
isl,1995,84.20776
isl,1996,85.7888
isl,1997,85.81337
isl,1998,85.99528
isl,1999,85.77773
isl,2000,86.06703
isl,2001,85.94982
isl,2002,84.10757
isl,2003,84.31374
isl,2004,85.9339
isl,2005,84.72165
isl,2006,84.25881
isl,2007,84.33785
isl,2008,84.82285
isl,2009,84.07073
isl,2010,82.96474
isl,2011,83.00738
isl,2012,82.17167
isl,2013,80.67714
isl,2014,80.34002
isl,2015,81.39189
isl,2016,80.38694
isl,2017,81.58546
isl,2018,81.85937
isl,2019,76.60903
isr,1975,64.2103
isr,1976,64.29504
isr,1977,64.42845
isr,1978,64.5246
isr,1979,64.75243
isr,1980,64.21982
isr,1981,62.88619
isr,1982,63.358
isr,1983,63.16124
isr,1984,62.97566
isr,1985,62.7024
isr,1986,62.55054
isr,1987,61.84099
isr,1988,62.8604
isr,1989,63.47833
isr,1990,63.46172
isr,1991,62.66078
isr,1992,62.56975
isr,1993,63.58777
isr,1994,63.32967
isr,1995,63.19521
isr,1996,63.74915
isr,1997,63.00231
isr,1998,62.74591
isr,1999,63.07972
isr,2000,62.23846
isr,2001,62.0867
isr,2002,62.17687
isr,2003,61.99985
isr,2004,61.93696
isr,2005,61.985
isr,2006,61.81906
isr,2007,61.04366
isr,2008,60.23671
isr,2009,59.906
isr,2010,60.00474
isr,2011,60.22385
isr,2012,60.62441
isr,2013,59.99382
isr,2014,59.7504
isr,2015,59.52561
isr,2016,60.04987
isr,2017,58.8135
isr,2018,58.26889
isr,2019,60.91444
ita,1975,67.25963
ita,1976,68.12653
ita,1977,68.82424
ita,1978,69.21384
ita,1979,69.22001
ita,1980,80.80096
ita,1981,83.5849
ita,1982,83.74244
ita,1983,83.41059
ita,1984,85.82917
ita,1985,85.79709
ita,1986,85.53923
ita,1987,85.72495
ita,1988,85.7847
ita,1989,85.69383
ita,1990,85.48521
ita,1991,88.44232
ita,1992,87.21722
ita,1993,86.07577
ita,1994,85.73317
ita,1995,86.9852
ita,1996,86.46846
ita,1997,87.64417
ita,1998,86.85876
ita,1999,87.541
ita,2000,84.36598
ita,2001,83.74774
ita,2002,87.60802
ita,2003,87.52451
ita,2004,87.66276
ita,2005,89.76205
ita,2006,90.23643
ita,2007,89.81522
ita,2008,88.92679
