country,time,popcit_500k_1m
hrv,2025,684359
hrv,2030,688396
hrv,2035,695788
hti,1950,0
hti,1955,0
hti,1960,0
hti,1965,0
hti,1970,0
hti,1975,574813
hti,1980,700592
hti,1985,880860
hti,1990,0
hti,1995,0
hti,2000,0
hti,2005,0
hti,2010,0
hti,2015,0
hti,2020,0
hti,2025,0
hti,2030,0
hti,2035,0
hun,1950,0
hun,1955,0
hun,1960,0
hun,1965,0
hun,1970,0
hun,1975,0
hun,1980,0
hun,1985,0
hun,1990,0
hun,1995,0
hun,2000,0
hun,2005,0
hun,2010,0
hun,2015,0
hun,2020,0
hun,2025,0
hun,2030,0
hun,2035,0
idn,1950,1190000
idn,1955,1487031
idn,1960,1863868
idn,1965,1596493
idn,1970,1808557
idn,1975,2820934
idn,1980,3042908
idn,1985,4121871
idn,1990,5475376
idn,1995,4988991
idn,2000,5143458
idn,2005,6932437
idn,2010,9706555
idn,2015,8266391
idn,2020,7107861
idn,2025,5648986
idn,2030,6181457
idn,2035,7204668
ind,1950,2870034
ind,1955,3555064
ind,1960,3045580
ind,1965,4672521
ind,1970,8208422
ind,1975,12902367
ind,1980,21394452
ind,1985,23909287
ind,1990,21291596
ind,1995,26580775
ind,2000,26237849
ind,2005,30292899
ind,2010,30220025
ind,2015,29548060
ind,2020,33913586
ind,2025,41819693
ind,2030,49015628
ind,2035,57768922
irl,1950,626131
irl,1955,647022
irl,1960,661202
irl,1965,723149
irl,1970,771083
irl,1975,833053
irl,1980,903491
irl,1985,920037
irl,1990,916386
irl,1995,946470
irl,2000,988539
irl,2005,0
irl,2010,0
irl,2015,0
irl,2020,0
irl,2025,0
irl,2030,0
irl,2035,0
irn,1950,0
irn,1955,0
irn,1960,0
irn,1965,0
irn,1970,0
irn,1975,1813977
irn,1980,2922593
irn,1985,4197973
irn,1990,3624184
irn,1995,3116681
irn,2000,2439861
irn,2005,4321195
irn,2010,3702345
irn,2015,6024025
irn,2020,5525925
irn,2025,6999519
irn,2030,7892128
irn,2035,8220032
irq,1950,579167
irq,1955,718743
irq,1960,0
irq,1965,0
irq,1970,0
irq,1975,0
irq,1980,0
irq,1985,603304
irq,1990,1272070
irq,1995,2163508
irq,2000,3042993
irq,2005,3362945
irq,2010,3327899
irq,2015,5276454
irq,2020,5404548
irq,2025,6207182
irq,2030,6062018
irq,2035,5813550
isl,1950,0
isl,1955,0
isl,1960,0
isl,1965,0
isl,1970,0
isl,1975,0
isl,1980,0
isl,1985,0
isl,1990,0
isl,1995,0
isl,2000,0
isl,2005,0
isl,2010,0
isl,2015,0
isl,2020,0
isl,2025,0
isl,2030,0
isl,2035,0
isr,1950,0
isr,1955,555579
isr,1960,738158
isr,1965,881669
isr,1970,0
isr,1975,0
isr,1980,0
isr,1985,555341
isr,1990,1186675
isr,1995,1393459
isr,2000,1569024
isr,2005,2227942
isr,2010,1334999
isr,2015,1454770
isr,2020,1569295
isr,2025,1672423
isr,2030,723197
isr,2035,773988
ita,1950,3028987
ita,1955,3200377
ita,1960,3403520
ita,1965,4603816
ita,1970,5342176
ita,1975,6530870
ita,1980,6681948
ita,1985,7194246
ita,1990,7156882
ita,1995,7145477
ita,2000,7646918
ita,2005,7789318
ita,2010,7983917
ita,2015,8188256
ita,2020,8370081
ita,2025,8491491
ita,2030,9615732
ita,2035,9741337
jam,1950,0
jam,1955,0
jam,1960,0
jam,1965,0
jam,1970,0
jam,1975,0
jam,1980,516184
jam,1985,538591
jam,1990,562168
jam,1995,571222
jam,2000,577604
jam,2005,581375
jam,2010,584330
jam,2015,587296
jam,2020,590940
jam,2025,603770
jam,2030,624822
jam,2035,645446
jor,1950,0
jor,1955,0
jor,1960,0
jor,1965,0
jor,1970,0
jor,1975,0
jor,1980,635702
jor,1985,735712
jor,1990,851491
jor,1995,974262
jor,2000,0
jor,2005,0
jor,2010,504537
jor,2015,624016
jor,2020,1809662
jor,2025,1859637
jor,2030,1954818
jor,2035,2092749
jpn,1950,1794610
jpn,1955,2205354
